Row,Year,Data Type,United States Change from 2005
1,2005,1 Nitrogen Dioxide,0
2,2006,1 Nitrogen Dioxide,-9
3,2007,1 Nitrogen Dioxide,-21
4,2008,1 Nitrogen Dioxide,-23
5,2009,1 Nitrogen Dioxide,-46
6,2010,1 Nitrogen Dioxide,-44
7,2011,1 Nitrogen Dioxide,-45
8,2012,1 Nitrogen Dioxide,-43
9,2013,1 Nitrogen Dioxide,-44
10,2014,1 Nitrogen Dioxide,-45
11,2015,1 Nitrogen Dioxide,-48
12,2016,1 Nitrogen Dioxide,-49
13,2017,1 Nitrogen Dioxide,-47
14,2018,1 Nitrogen Dioxide,-53
15,2019,1 Nitrogen Dioxide,-52
16,2020,1 Nitrogen Dioxide,-57
17,2021,1 Nitrogen Dioxide,-50
1,2005,2 Nitrogentrogen Dioxide,0
2,2006,2 Nitrogentrogen Dioxide,-9
3,2007,2 Nitrogentrogen Dioxide,-21
4,2008,2 Nitrogentrogen Dioxide,-23
5,2009,2 Nitrogentrogen Dioxide,-46
6,2010,2 Nitrogentrogen Dioxide,-44
7,2011,2 Nitrogentrogen Dioxide,-45
8,2012,2 Nitrogentrogen Dioxide,-43
9,2013,2 Nitrogentrogen Dioxide,-44
10,2014,2 Nitrogentrogen Dioxide,-45
11,2015,2 Nitrogentrogen Dioxide,-48
12,2016,2 Nitrogentrogen Dioxide,-49
13,2017,2 Nitrogentrogen Dioxide,-47
14,2018,2 Nitrogentrogen Dioxide,-53
15,2019,2 Nitrogentrogen Dioxide,-52
16,2020,2 Nitrogentrogen Dioxide,-57
17,2021,2 Nitrogentrogen Dioxide,-50
1,2005,12 Nitrogentrogen Dioxide,0
2,2006,12 Nitrogentrogen Dioxide,-9
3,2007,12 Nitrogentrogen Dioxide,-21
4,2008,12 Nitrogentrogen Dioxide,-23
5,2009,12 Nitrogentrogen Dioxide,-46
6,2010,12 Nitrogentrogen Dioxide,-44
7,2011,12 Nitrogentrogen Dioxide,-45
8,2012,12 Nitrogentrogen Dioxide,-43
9,2013,12 Nitrogentrogen Dioxide,-44
10,2014,12 Nitrogentrogen Dioxide,-45
11,2015,12 Nitrogentrogen Dioxide,-48
12,2016,12 Nitrogentrogen Dioxide,-49
13,2017,12 Nitrogentrogen Dioxide,-47
14,2018,12 Nitrogentrogen Dioxide,-53
15,2019,12 Nitrogentrogen Dioxide,-52
16,2020,12 Nitrogentrogen Dioxide,-57
17,2021,12 Nitrogentrogen Dioxide,-50
1,2005,Nitrogen Dioxide,0
2,2006,Nitrogen Dioxide,-9
3,2007,Nitrogen Dioxide,-21
4,2008,Nitrogen Dioxide,-23
5,2009,Nitrogen Dioxide,-46
6,2010,Nitrogen Dioxide,-44
7,2011,Nitrogen Dioxide,-45
8,2012,Nitrogen Dioxide,-43
9,2013,Nitrogen Dioxide,-44
10,2014,Nitrogen Dioxide,-45
11,2015,Nitrogen Dioxide,-48
12,2016,Nitrogen Dioxide,-49
13,2017,Nitrogen Dioxide,-47
14,2018,Nitrogen Dioxide,-53
15,2019,Nitrogen Dioxide,-52
16,2020,Nitrogen Dioxide,-57
17,2021,Nitrogen Dioxide,-50
18,2005,Sulfur Dioxide,0
19,2006,Sulfur Dioxide,-30
20,2007,Sulfur Dioxide,-31
21,2008,Sulfur Dioxide,-48
22,2009,Sulfur Dioxide,-50
23,2010,Sulfur Dioxide,-60
24,2011,Sulfur Dioxide,-74
25,2012,Sulfur Dioxide,-74
26,2013,Sulfur Dioxide,-74
27,2014,Sulfur Dioxide,-71
28,2015,Sulfur Dioxide,-81
29,2016,Sulfur Dioxide,-77
30,2017,Sulfur Dioxide,-81
31,2018,Sulfur Dioxide,-77
32,2019,Sulfur Dioxide,-71
33,2020,Sulfur Dioxide,-77
34,2021,Sulfur Dioxide,-88